"","TYPE","EPS8L2","TNNI2","SCT","INS","RPLP2","KDELR3","GRIP1","MICALL1","ADSL","MGAT3"
"gsm336208ul","UL",4.9,0.85,0.38,-0.32,5.1,8.66,4.03,8.86,8.86,4.84
"gsm336209ul","UL",4.69,1.49,1.2,0.26,4.24,8.18,3.6,8.74,8.94,5.39
"gsm336210ul","UL",4.87,0.68,0.58,0.68,5.7,8.53,4.1,8.69,9.05,5.03
"gsm336211ul","UL",4.53,1.49,0.85,0.38,5.17,7.62,3.74,8.77,8.77,5.25
"gsm336212ul","UL",4.43,1,0.77,0.14,3.8,7.51,3.71,8.9,8.83,5.18
"gsm336213ul","UL",3.01,0.68,0.93,1.54,7.28,8.83,4.51,8.33,8.63,4.86
"gsm336214ul","UL",2.87,0.93,0.26,0.49,3.71,7.61,3.94,7.25,8.91,5.14
"gsm336215ul","UL",4.21,1,1.26,1.07,5.8,7.81,3.72,7.81,9.12,4.99
"gsm336216ul","UL",4.91,0.14,1.07,0.26,3.14,8.77,3.63,8.75,8.92,4.85
"gsm336217ul","UL",4.8,1.2,0.38,-0.15,6.65,7.9,3.15,6.98,8.58,4.1
"gsm336218ul","UL",3.82,1.14,-0.15,0.93,5.29,7.81,4.49,7.79,8.81,4.69
"gsm336219ul","UL",4.33,1.2,0.68,1,6.9,7.61,3.53,6.71,8.24,4.86
"gsm336220ul","UL",4.89,0.77,0.38,1.58,4.24,7.73,4.06,7.72,8.46,4.4
"gsm336221ul","UL",4.43,0.49,0.14,-1,4.27,7.02,2.62,7.46,8.81,4.34
"gsm336222ul","UL",5,1.32,1,-0.51,5.6,8.22,2.67,8.37,9.02,5.64
"gsm336223ul","UL",4.84,1.07,0.68,0.77,4.96,7.58,3.76,8.53,8.74,4.4
"gsm336224ul","UL",3.19,1,0.38,0.77,4.9,7.94,4.49,8.69,9.21,4.79
"gsm336225ul","UL",4.2,0.85,1.68,0.68,4.27,8.26,2.97,8.55,8.76,4.88
"gsm336226ul","UL",3.93,1.07,0.38,-0.15,4.49,7.13,6.4,8.38,8.68,4.55
"gsm336227ul","UL",5.34,1.26,1.14,0.68,4.48,6.8,3.98,8.69,8.86,4.54
"gsm336228ul","UL",3.62,1.77,0.58,-0.32,4.13,6.66,5.12,8.69,8.97,5.02
"gsm336229ul","UL",3.49,0.58,0.49,0.77,4.35,7.75,2.8,8.4,8.47,4.85
"gsm336230ul","UL",4.24,0.38,0.49,0.26,5.44,7.64,2.94,8.14,8.62,4.67
"gsm336231ul","UL",4.3,0.49,0.38,-0.15,4.73,7.23,3.16,8.14,8.79,4.18
"gsm336232ul","UL",5.21,1.49,0.77,0.77,4.17,7.83,3.61,8.57,8.94,5.79
"gsm336233ul","UL",4.36,1.63,1.49,1.63,6.18,8.6,4.18,8.1,8.73,5.05
"gsm336234ul","UL",4.08,0.93,0.26,1,6.79,7.54,5.18,7.94,8.81,4.87
"gsm336235ul","UL",3.69,0.38,0.38,0.77,3.74,7.12,4.22,8.41,9.01,4.93
"gsm336236ul","UL",2.89,0.49,0.38,0.68,2.55,6.95,4.63,8.09,9.2,5.09
"gsm336237ul","UL",3.2,1.38,0.58,0,4.03,8.02,4.11,8.17,8.66,5.45
"gsm336238ul","UL",3.69,1,0.26,1.49,6.68,7.45,4.42,8.02,8.68,4.46
"gsm336239ul","UL",3.04,2,1,1.2,7.41,7.81,2.2,7.36,8.98,5.3
"gsm336240ul","UL",4.21,0.38,0.38,0.85,3.68,7.06,4,7.73,8.82,4.89
"gsm336241ul","UL",4.39,0.38,0,0.68,1.35,6.74,3.41,7.57,8.71,4.75
"gsm336242ul","UL",4.99,1.2,0.77,0.14,5.41,7.13,4.25,7.47,8.85,4.95
"gsm336243ul","UL",5.17,0.68,0,-0.15,3.63,8.04,2.68,8.45,8.76,5.27
"gsm336244ul","UL",5.04,1.93,1.49,0.93,5.19,8.53,3.15,8.93,8.74,5.6
"gsm336245ul","UL",1.87,0.85,0.38,0,5.77,7.81,3.19,7.79,8.69,4.51
"gsm336246ul","UL",5.15,0.93,1.58,1.07,6.73,7.91,3.5,8.67,8.99,5.99
"gsm336247ul","UL",3.72,0.93,2.49,-1,5.38,6.68,4.52,7.65,8.74,4.97
"gsm336248ul","UL",4.17,1.32,0.49,-0.32,5.59,6.98,1.07,8.09,8.6,4.8
"gsm336249ul","UL",4.92,0.77,0.68,0.49,4.25,7.74,2.36,7.91,8.84,5.2
"gsm336250ul","UL",4.74,1,0.49,0.49,3.66,7.97,3.69,7.78,9.27,5.89
"gsm336251ul","UL",4.82,1.26,0,-0.51,3.79,8.49,0.49,8.18,9.16,5.28
"gsm38689ul","UL",5.09,1.2,-1,0.14,4.05,6.49,0.49,7.02,7.78,4.36
"gsm38690ul","UL",5.15,0.14,-0.32,0.68,2.85,6.47,1.43,7.3,8.3,4.79
"gsm38691ul","UL",5.52,-0.15,-0.74,0.14,4.06,6.97,0.58,7.81,8.23,4.31
"gsm38692ul","UL",5.22,1.32,0.38,1,3.75,6.88,0,6.78,7.85,4.81
"gsm38693ul","UL",5.52,0.58,0.26,1.2,3.15,7.42,3.1,7.24,7.77,4.09
"gsm38694ul","UL",5.8,1.58,0.26,1.32,4.66,7.09,1.14,7.65,7.75,5.45
"gsm38695ul","UL",2.61,0.38,0.58,0.77,2.57,6.96,0.14,6.78,8.01,4.51
"gsm9093ul","UL",2.72,1.72,0.49,1.93,3.69,6.86,0,7.58,8.09,5.61
"gsm9094ul","UL",3.05,1.38,1.2,1.38,4.55,7.08,1.38,7.51,8.34,5.47
"gsm9095ul","UL",3.34,2.38,0.38,1.54,4.97,7.1,2,7.45,8.49,5.11
"gsm9096ul","UL",4.43,1.54,3.19,1.26,4.39,7.74,1.68,7.7,8.12,5.3
"gsm9097ul","UL",2.98,1.85,1.38,1.49,2.09,7.67,1.68,7.95,8.15,5.07
"gsm569429ul","UL",6.27,4.94,5.76,4.48,4.14,5.26,4.36,7.27,7.79,5.89
"gsm569430ul","UL",5.7,5.07,5.74,4.65,4.18,5.12,4.23,7.75,8.03,5.91
"gsm569431ul","UL",5.46,4.49,4.39,4.15,4.14,4.6,3.91,7.95,8.34,5.17
"gsm569432ul","UL",5.25,4.47,4.34,4.15,3.94,6.71,3.79,7.09,8.95,5.12
"gsm569433ul","UL",5.08,4.52,4.15,4.19,3.88,6.54,3.68,8.79,9.24,5.22
