"simulatedMean10k","simulatedSD10K","leftTail2.5","rightTail97.25","ulStatus","gene"
0.532369314285714,0.215772343894305,0.115278571428571,0.948872857142857,"UL","ZNF750"
4.70275101428571,0.151906065692752,4.39127142857143,4.97971428571429,"UL","CBX2"
5.23720145098039,0.171861756071338,4.91352450980392,5.5778431372549,"UL","SOCS3"
2.78018847058824,0.226694386135072,2.33705392156863,3.21450980392157,"UL","RAC3"
7.48546011764706,0.116695871397373,7.25352450980392,7.70392156862745,"UL","KDELR3"
3.3206441372549,0.195509628282761,2.92430882352941,3.69059362745098,"UL","GRIP1"
6.89120698039216,0.157646688747633,6.62294117647059,7.22412303921569,"UL","PYCR1"
3.40634682352941,0.257049649498961,2.90191666666667,3.88255441176471,"UL","TH"
8.50490339215686,0.158249608839386,8.20666666666667,8.82078431372549,"UL","CBX7"
6.16863592156863,0.114006042710228,5.9421568627451,6.38764705882353,"UL","ASPSCR1"
5.83305854901961,0.186225468690258,5.45900980392157,6.17549558823529,"UL","BET1L"
3.73612760784314,0.202661364967951,3.35489705882353,4.14647058823529,"UL","HMGA2"
5.30126125490196,0.082272352521053,5.1529362745098,5.46960784313726,"UL","CYTH4"
4.19819782352941,0.136015550946077,3.94450490196078,4.47353480392157,"UL","CCDC57"
5.51514209803922,0.0886854366861591,5.33470098039216,5.68000539215686,"UL","FASN"
6.92001678431373,0.134982480415162,6.68528431372549,7.20197696078431,"UL","TNRC6B"
1.35332331372549,0.241919072467761,0.876843137254902,1.80963480392157,"nonUL","ZNF750"
3.90738552941176,0.164399516249263,3.57567647058824,4.2133387254902,"nonUL","CBX2"
6.0091252745098,0.25920759139948,5.52411764705882,6.53019607843137,"nonUL","SOCS3"
2.03929111764706,0.195716530344764,1.6656862745098,2.42019607843137,"nonUL","RAC3"
6.76387974509804,0.100610993529294,6.56371568627451,6.95177009803922,"nonUL","KDELR3"
2.64103688235294,0.223023678829453,2.20783333333333,3.0711818627451,"nonUL","GRIP1"
6.20698392156863,0.142049879296165,5.95234803921569,6.50039754901961,"nonUL","PYCR1"
2.75753058823529,0.251608434470876,2.26136274509804,3.2311818627451,"nonUL","TH"
9.15582562745098,0.188224901615632,8.80939215686275,9.53333872549019,"nonUL","CBX7"
5.54636107843137,0.120165663884263,5.31666176470588,5.78078431372549,"nonUL","ASPSCR1"
5.39755035294118,0.219127063035112,4.96430882352941,5.81196078431373,"nonUL","BET1L"
3.64281943137255,0.128475989271059,3.39254411764706,3.88549558823529,"nonUL","HMGA2"
5.4689808627451,0.0955256453639876,5.29254411764706,5.66235294117647,"nonUL","CYTH4"
4.05270882352941,0.163475702668813,3.73588235294118,4.3711818627451,"nonUL","CCDC57"
5.28790205882353,0.0942379800912294,5.09352450980392,5.459025,"nonUL","FASN"
6.84906501960784,0.141074902788297,6.5915637254902,7.13922107843137,"nonUL","TNRC6B"
