"","ZNF750","CBX2","SOCS3","RAC3","KDELR3","GRIP1","PYCR1","TH","CBX7","ASPSCR1","MICALL1","C1QTNF1","SLC38A10","CARD10","GRAP2","EIF4A3"
"gsm9101",1.43,4.11,5.08,1.77,7.14,0.14,6.1,4.19,8.11,5.16,7.02,6.72,7.37,6.27,2.41,8.5
"gsm9102",0.14,5.52,5.59,1.63,6.76,1.32,6.57,4.31,8.24,4.93,7.25,6.92,7.73,6.02,2.17,8.58
"gsm569424",3.45,5.61,5.24,4.78,5.07,4.49,7.04,4.08,8.05,4.73,6.71,6.98,6.17,5.96,6.08,7.41
"gsm569425",3.29,4.87,5.73,4.46,5.51,3.98,6.27,3.96,7.78,4.58,7.56,7.56,7.47,5.39,5.17,8.1
"gsm569426",3.32,5.07,4.69,4.28,4.84,3.91,6.29,3.87,7.25,4.59,7.4,6.44,7.56,5.38,5.07,8.52
"gsm569427",3.26,4.5,4.79,4.46,5.12,3.8,5.82,3.8,8.85,4.8,7.01,7.06,7.84,5.87,5.01,8.36
"gsm569428",3.23,4.47,4.35,4.39,6.11,3.74,6.4,3.94,7.69,4.88,7.9,6.57,7.87,5.64,4.65,8.82
"gsm1667147ul",2.46,2.29,8.34,5.64,8.11,5.21,12.21,5.22,12.54,7.82,8.7,6.16,11.85,10.9,2.96,14.03
"gsm1667148ul",2.94,3.78,7.48,7.45,8.39,5.29,12.61,6.34,11.84,6.06,7.72,4.49,11.1,10.55,3.43,13.76
"gsm1667149ul",3.14,5.38,5.94,3.14,9.75,6.42,6.78,6.92,12.76,7.91,8.57,6.05,11.5,11.7,3.95,3.14
"gsm336202ul",-1.32,4.1,7.31,3.57,7.47,2.86,6.09,-0.32,9.35,6.37,8.17,5.67,5.9,6.3,1.38,9.48
"gsm336203ul",-1.74,5,6.03,3.86,7.84,3.48,7.07,3.68,8.68,6.18,8.2,5.16,6.09,5.22,3.71,9.4
"gsm336204ul",-0.51,5.45,5.02,3.45,8.3,3.41,7.24,4.36,8.26,6.09,8.59,5.3,5.69,5.01,1.32,9.77
"gsm336205ul",-0.15,5.44,4.1,5.7,6.98,4.09,7.11,5.06,8.35,6.86,9.02,4.7,5.06,5.03,0.26,9.85
"gsm336206ul",-1.74,6.08,3.79,2.2,7.55,4.64,7.72,4.36,8.47,6.7,8.98,5.39,5.29,5.36,0.93,9.85
"gsm336207ul",-0.74,5.56,4.37,1.38,7.42,3.46,6.69,4.04,8.9,5.94,8.41,5.22,5.19,4.68,1.96,9.82
"gsm336208ul",0.77,5.68,4.64,5.7,8.66,4.03,7.7,5.2,7.71,6.53,8.86,5.69,5.75,5.17,0.77,9.82
"gsm336209ul",2,5.59,6.01,4.49,8.18,3.6,7.58,5.48,8.4,6.5,8.74,5.69,5.5,5.27,2.14,9.49
"gsm336210ul",-1.74,5.88,4.71,5.48,8.53,4.1,7.57,4.58,8.15,6.26,8.69,5.44,5.71,5.3,0.85,9.95
"gsm336211ul",-1.74,5.52,4.05,3.35,7.62,3.74,6.53,4.83,8.63,6.84,8.77,5.69,5.66,5.21,1.2,9.71
"gsm336212ul",-0.32,5.64,4.18,3.05,7.51,3.71,6.76,4.85,8.75,6.97,8.9,5.61,5.77,4.95,1.2,9.7
"gsm336213ul",1.54,6.02,4.8,3.26,8.83,4.51,6.75,3.86,7.03,5.62,8.33,5.28,5.17,4.9,2.35,9.42
"gsm336214ul",-1.74,5.46,3.76,2.29,7.61,3.94,7.36,4.29,9.11,7.89,7.25,5.77,6.27,5.25,1.58,9.75
