"","ZNF750","CBX2","SOCS3","RAC3","KDELR3","GRIP1","PYCR1","TH","CBX7","ASPSCR1","BET1L","HMGA2","CYTH4","CCDC57","FASN","TNRC6B"
"gsm336241ul",1.07,4.74,3.6,0.77,6.74,3.41,5.8,-0.51,9.6,6.34,6,1.87,4.95,3.81,4.82,6.33
"gsm336242ul",2.58,5.18,9.75,2.1,7.13,4.25,6.54,3.62,8.92,6.15,6.15,3.48,4.98,4.42,5.5,7.35
"gsm336243ul",1.96,4.5,6,1.43,8.04,2.68,6.35,2.32,8.25,7.02,6.21,4.33,4.88,4.3,5.59,7.17
"gsm336244ul",-0.74,5.56,5.54,5.31,8.53,3.15,7.58,5.23,8.02,6.59,6.88,3.9,4.75,3.58,6.44,6.19
"gsm336245ul",0,4.32,7.21,1.2,7.81,3.19,6.26,2.87,9.03,6.36,6.04,2.52,4.93,3.96,5.5,7.36
"gsm336246ul",-1.32,5.63,5.42,4.19,7.91,3.5,7.12,3.26,8.66,6.1,6.22,4.02,5.68,4.29,5.07,7.4
"gsm336247ul",1,4.06,6.13,0.93,6.68,4.52,5.76,2.41,9.63,5.66,6.02,1.96,4.25,4.17,4.76,8.05
"gsm336248ul",1.63,3.95,7.06,-0.74,6.98,1.07,6.17,1.43,9.63,6,6.23,2.6,5.01,3.88,4.88,6.71
"gsm336249ul",0.26,5.05,5.19,-0.15,7.74,2.36,6.11,1.07,9.28,6.79,6.22,2.73,5.63,4.17,6.03,6.82
"gsm336250ul",-2.32,6.05,5.35,1,7.97,3.69,6.16,0.49,8.99,7.33,6.61,2.96,5.1,4.16,5.96,6.67
"gsm336251ul",-1.74,5,6.87,1.81,8.49,0.49,7.07,1.14,8.38,7.16,6.47,3.06,6.21,3.4,6.14,6.23
"gsm38689ul",2.7,1.63,4.3,2.17,6.49,0.49,5.85,4.07,7.7,5.18,4.1,5.22,5.88,3.73,4.82,6.14
"gsm38690ul",-1,4.1,3.47,1.32,6.47,1.43,6.31,3.87,7.78,4.82,1.49,3.54,5.09,2.46,4.3,6.3
"gsm38691ul",2.68,2.51,2.54,1,6.97,0.58,6.82,3.12,6.65,5.04,3.45,5.49,5.65,4.04,5.05,7.19
"gsm38692ul",0.26,2,4.62,1.38,6.88,0,5.9,0.14,6.7,4.18,4.69,5.17,5.37,2.29,5.13,6.25
"gsm38693ul",3.07,0.68,3.81,2.35,7.42,3.1,6.69,3.17,6.8,4.91,3.92,4.5,5.8,2.2,5.25,6.4
"gsm38694ul",3.28,1.93,4.86,2.83,7.09,1.14,6.49,5.55,7.22,5.69,3.12,5.33,5.92,3.47,5.6,5.92
"gsm38695ul",2.72,1.38,4.73,1.85,6.96,0.14,6.15,4.63,6.85,5.44,2.93,5,5.96,1.93,5.62,6.18
"gsm9093ul",2,4.31,5.46,2.14,6.86,0,7.27,3.8,6.77,6,3.54,4.16,6.33,4.39,5.21,6.79
"gsm9094ul",0,3.71,5.34,2.89,7.08,1.38,7.32,3.04,7.91,4.84,3.12,4.63,6.21,3.56,5.86,7.28
"gsm9095ul",-1,1.63,4.19,1.68,7.1,2,6.74,3.15,8.24,5.7,3.63,5,5.53,2.1,5.41,7.24
"gsm9096ul",2.54,5.22,5.04,2.49,7.74,1.68,7.22,5.6,7.02,5.9,3.15,5.06,6.21,5.35,5.77,7.3
"gsm9097ul",-0.32,2.77,4.96,4.14,7.67,1.68,7.9,5.14,7.53,6.58,4.28,5.36,6.05,4.31,6.7,7.3
"gsm569429ul",3.22,5.35,5.11,4.61,5.26,4.36,6.9,4.27,8.38,5.04,5.1,9.25,5.89,5.55,5.91,6.28
"gsm569430ul",3.39,5.34,5.2,4.63,5.12,4.23,6.94,4.11,7.07,4.75,5.43,4.43,5.87,5.77,6.2,6.33
"gsm569431ul",3.32,4.69,4.68,4.34,4.6,3.91,6.13,4.04,7.82,5.1,4.61,4.29,5.49,4.95,5.76,5.73
"gsm569432ul",3.32,4.87,4.58,4.29,6.71,3.79,6.61,4.22,7.05,4.8,4.63,4.41,5.26,4.81,5.63,6.06
"gsm569433ul",3.28,4.67,4.54,4.47,6.54,3.68,6.73,4.2,7.52,4.86,4.47,4.01,5.4,4.94,5.58,5.72
